ds;y
2009-07-15_00;1.090514286
2009-07-15_01;0.781936735
2009-07-15_02;0.595128571
2009-07-15_03;0.531195918
2009-07-15_04;0.50277551
2009-07-15_06;0.528673469
2009-07-15_07;0.648514286
2009-07-15_08;0.789744898
2009-07-15_09;1.109271429
2009-07-15_10;1.236989796
2009-07-15_11;1.281122449
2009-07-15_12;1.258530612
2009-07-15_13;1.410842857
2009-07-15_14;1.271440816
2009-07-15_15;1.203253061
2009-07-15_16;1.201759184
2009-07-15_17;1.319542857
2009-07-15_18;1.39077551
2009-07-15_19;1.242657143
2009-07-15_20;1.176287755
2009-07-15_21;1.110740816
2009-07-15_22;1.293953061
2009-07-15_23;1.376657143
2009-07-16_01;0.799632653
2009-07-16_02;0.617493878
2009-07-16_03;0.523506122
2009-07-16_04;0.490873469
2009-07-16_05;0.48494898
2009-07-16_07;0.573489796
2009-07-16_08;0.775081633
2009-07-16_09;1.054340816
2009-07-16_10;1.147669388
2009-07-16_11;1.104538776
2009-07-16_12;1.157167347
2009-07-16_13;1.412628571
2009-07-16_14;1.356063265
2009-07-16_15;1.262357143
2009-07-16_16;1.262702041
2009-07-16_17;1.234544898
2009-07-16_18;1.458814286
2009-07-16_19;1.420871429
2009-07-16_20;1.2959
2009-07-16_21;1.286226531
2009-07-16_22;1.393759184
2009-07-16_23;1.427634694
2009-07-17_00;1.080493878
2009-07-17_01;0.769091837
2009-07-17_02;0.61062449
2009-07-17_03;0.525334694
2009-07-17_04;0.496161224
2009-07-17_05;0.489504082
2009-07-17_06;0.520944898
2009-07-17_07;0.590669388
2009-07-17_08;0.792120408
2009-07-17_09;0.993985714
2009-07-17_10;1.166038776
2009-07-17_11;1.217295918
2009-07-17_12;1.308277551
2009-07-17_13;1.381230612
2009-07-17_14;1.269479592
2009-07-17_15;1.263281633
2009-07-17_16;1.211428571
2009-07-17_17;1.291793878
2009-07-17_18;1.23662449
2009-07-17_19;1.187316327
2009-07-17_20;1.253793878
2009-07-17_21;1.272042857
2009-07-17_23;1.353628571
2009-07-18_00;1.075779592
2009-07-18_01;0.776395918
2009-07-18_02;0.63334898
2009-07-18_03;0.552502041
2009-07-18_04;0.50987551
2009-07-18_05;0.47377551
2009-07-18_06;0.497916327
2009-07-18_07;0.533771429
2009-07-18_08;0.685955102
2009-07-18_09;0.941279592
2009-07-18_10;1.19265102
2009-07-18_11;1.306344898
2009-07-18_12;1.448263265
2009-07-18_13;1.57374898
2009-07-18_14;1.441516327
2009-07-18_15;1.4026
2009-07-18_16;1.442638776
2009-07-18_17;1.361459184
2009-07-18_18;1.386981633
2009-07-18_19;1.352438776
2009-07-18_21;1.418591837
2009-07-18_22;1.410973469
2009-07-18_23;1.331538776
2009-07-19_00;1.040985714
2009-07-19_01;0.840434694
2009-07-19_02;0.654871429
2009-07-19_03;0.580034694
2009-07-19_04;0.539385714
2009-07-19_05;0.505316327
2009-07-19_06;0.517234694
2009-07-19_08;0.652222449
2009-07-19_09;0.897385714
2009-07-19_10;1.18804898
2009-07-19_11;1.405306122
2009-07-19_12;1.726397959
2009-07-19_13;1.863630612
2009-07-19_14;1.651753061
2009-07-19_15;1.403134694
2009-07-19_16;1.270212245
2009-07-19_17;1.198979592
2009-07-19_18;1.179442857
2009-07-19_19;1.127942857
2009-07-19_20;1.173065306
2009-07-19_21;1.223761224
2009-07-19_22;1.279344898
2009-07-19_23;1.263336735
2009-07-20_01;0.718463265
2009-07-20_02;0.611434694
2009-07-20_03;0.533781633
2009-07-20_04;0.488434694
2009-07-20_05;0.4843
2009-07-20_06;0.522179592
2009-07-20_07;0.603246939
2009-07-20_08;0.70862449
2009-07-20_09;0.990130612
2009-07-20_10;1.103042857
2009-07-20_11;1.246493878
2009-07-20_12;1.387269388
2009-07-20_13;1.419744898
2009-07-20_14;1.371161224
2009-07-20_15;1.278371429
2009-07-20_16;1.275802041
2009-07-20_17;1.40712449
2009-07-20_18;1.472046939
2009-07-20_19;1.335914286
2009-07-20_20;1.279640816
2009-07-20_21;1.229016327
2009-07-20_22;1.40005102
2009-07-20_23;1.448646939
2009-07-21_01;0.745691207
2009-07-21_02;0.612740286
2009-07-21_03;0.523372188
2009-07-21_04;0.488503067
2009-07-21_05;0.500770961
2009-07-21_06;0.505803681
2009-07-21_07;0.585147239
2009-07-21_08;0.761877301
2009-07-21_09;0.9469591
2009-07-21_10;1.141034765
2009-07-21_11;1.2270818
2009-07-21_12;1.400200409
2009-07-21_13;1.547593047
2009-07-21_14;1.327269939
2009-07-21_15;1.255472393
2009-07-21_16;1.213075665
2009-07-21_17;1.355562372
2009-07-21_18;1.456717791
2009-07-21_19;1.398022495
2009-07-21_20;1.226989775
2009-07-21_21;1.266912065
2009-07-21_22;1.470668712
2009-07-21_23;1.422241309
2009-07-22_00;1.055505112
2009-07-22_01;0.777196319
2009-07-22_02;0.606357873
2009-07-22_03;0.52699591
2009-07-22_04;0.523200409
2009-07-22_05;0.506615542
2009-07-22_06;0.515912065
2009-07-22_07;0.636286299
2009-07-22_08;0.821128834
2009-07-22_09;1.045742331
2009-07-22_10;1.234766871
2009-07-22_12;1.28603272
2009-07-22_13;1.45803681
2009-07-22_14;1.366862986
2009-07-22_15;1.299907975
2009-07-22_16;1.303100204
2009-07-22_17;1.385815951
2009-07-22_18;1.452423313
2009-07-22_19;1.307167689
2009-07-22_20;1.255212679
2009-07-22_21;1.30801227
2009-07-22_22;1.448873211
2009-07-22_23;1.40894683
2009-07-23_00;1.089513292
2009-07-23_01;0.795233129
2009-07-23_02;0.607582822
2009-07-23_03;0.527936605
2009-07-23_04;0.512750511
2009-07-23_05;0.507118609
2009-07-23_06;0.532617587
2009-07-23_07;0.589339468
2009-07-23_08;0.798572597
2009-07-23_09;1.041147239
2009-07-23_10;1.149104294
2009-07-23_11;1.21701636
2009-07-23_12;1.321781186
2009-07-23_13;1.407402863
2009-07-23_14;1.276216769
2009-07-23_15;1.279288344
2009-07-23_16;1.328993865
2009-07-23_17;1.334480573
2009-07-23_18;1.389985685
2009-07-23_19;1.271797546
2009-07-23_20;1.25997955
2009-07-23_22;1.447300613
2009-07-23_23;1.356
2009-07-24_00;1.111602459
2009-07-24_01;0.759313525
2009-07-24_02;0.613286885
2009-07-24_03;0.573819672
2009-07-24_04;0.52577459
2009-07-24_05;0.518805328
2009-07-24_06;0.53530123
2009-07-24_07;0.570047131
2009-07-24_08;0.70354918
2009-07-24_09;1.042661885
2009-07-24_10;1.139584016
2009-07-24_11;1.269952869
2009-07-24_12;1.321372951
2009-07-24_13;1.517473361
2009-07-24_14;1.363934426
2009-07-24_15;1.240928279
2009-07-24_16;1.269209016
2009-07-24_17;1.29932582
2009-07-24_18;1.371940574
2009-07-24_19;1.32492623
2009-07-24_20;1.316622951
2009-07-24_21;1.319116803
2009-07-24_22;1.427735656
2009-07-24_23;1.38004918
2009-07-25_00;1.136858607
2009-07-25_01;0.821311475
2009-07-25_02;0.65332582
2009-07-25_03;0.592256148
2009-07-25_04;0.531985656
2009-07-25_05;0.50660041
2009-07-25_06;0.507420082
2009-07-25_07;0.520436475
2009-07-25_08;0.678836066
2009-07-25_10;1.25717418
2009-07-25_11;1.469625
2009-07-25_12;1.428096311
2009-07-25_13;1.618655738
2009-07-25_14;1.441508197
2009-07-25_15;1.468875
2009-07-25_16;1.309569672
2009-07-25_17;1.323565574
2009-07-25_18;1.424303279
2009-07-25_19;1.453766393
2009-07-25_20;1.424598361
2009-07-25_21;1.513752049
2009-07-25_22;1.456727459
2009-07-25_23;1.333612705
2009-07-26_00;1.064684426
2009-07-26_01;0.861752049
2009-07-26_02;0.729967213
2009-07-26_03;0.588055328
2009-07-26_04;0.52319877
2009-07-26_05;0.522932377
2009-07-26_07;0.537280738
2009-07-26_08;0.616006148
2009-07-26_09;0.926528689
2009-07-26_10;1.207428279
2009-07-26_11;1.549393443
2009-07-26_12;1.626125
2009-07-26_13;1.75227459
2009-07-26_14;1.500983607
2009-07-26_15;1.42170082
2009-07-26_16;1.249819672
2009-07-26_17;1.275305328
2009-07-26_18;1.263840164
2009-07-26_19;1.232797131
2009-07-26_20;1.231375
2009-07-26_21;1.244559426
2009-07-26_22;1.42004918
2009-07-26_23;1.294528689
2009-07-27_00;1.072366803
2009-07-27_01;0.725442623
2009-07-27_02;0.592401639
2009-07-27_03;0.534754098
